"cntry","wave","node1","node2","item1","item2","sample_edge","bootstrap_mean","bootstrap_sd","ci_lower_2.5","ci_upper_97.5","ci_includes_zero","bootstrap_zero_proportion"
"BE","R10","V15","V21","iplylfr","ipudrst",0.0865826903880099,0.0880234545601783,0.0284985727495922,0.0347999662500569,0.144104306286965,FALSE,0.02
"BE","R10","V16","V17","ipmodst","iprspot",0,-0.000760309860051972,0.00618638025718128,0,0,TRUE,0.984
"BE","R10","V16","V18","ipmodst","ipshabt",0,-0.0186921449458072,0.0308428966446068,-0.0922179995167998,0,TRUE,0.704
"BE","R10","V16","V19","ipmodst","ipstrgv",0.0245057343326093,0.0239409738094473,0.0273266754754614,0,0.0822695082391566,TRUE,0.498
"BE","R10","V16","V20","ipmodst","ipsuces",0,-0.00277941648460882,0.0123630563904039,-0.0515772723909219,0,TRUE,0.946
"BE","R10","V16","V21","ipmodst","ipudrst",0.15099451507189,0.145741350821989,0.029629870911646,0.084522198469843,0.205097949819158,FALSE,0
"BE","R10","V17","V18","iprspot","ipshabt",0.105722255001352,0.10146313340593,0.031017868547642,0.0449412115393397,0.158815693959864,FALSE,0.012
"BE","R10","V17","V19","iprspot","ipstrgv",0,0.000702103258635042,0.00468744970247695,0,0.0105259786570594,TRUE,0.976
"BE","R10","V17","V20","iprspot","ipsuces",0.0959828275669196,0.0920780181084596,0.0312528470032954,0,0.147441179115532,TRUE,0.028
"BE","R10","V17","V21","iprspot","ipudrst",0,8.06722543218092e-05,0.00180388644561717,0,0,TRUE,0.998
"BE","R10","V18","V19","ipshabt","ipstrgv",0,-0.00126617950893873,0.00834070845016717,-0.0167488967938805,0,TRUE,0.976
"BE","R10","V18","V20","ipshabt","ipsuces",0.365124662254201,0.360619503547118,0.0273619052013819,0.3079941770761,0.412548039844683,FALSE,0
"BE","R10","V18","V21","ipshabt","ipudrst",0,6.87335427290363e-05,0.00153692873876511,0,0,TRUE,0.998
"BE","R10","V19","V20","ipstrgv","ipsuces",0.0651485971886779,0.055633843995516,0.0339755543254107,0,0.117893286288973,TRUE,0.174
"BE","R10","V19","V21","ipstrgv","ipudrst",0,0.0160322572004149,0.0244471036969653,0,0.0767511494114767,TRUE,0.66
"BE","R10","V2","V10","impenv","ipcrtiv",0,0.0339386405256097,0.0343598836989828,0,0.102125341426603,TRUE,0.428
"BE","R10","V2","V11","impenv","ipeqopt",0.128705707846067,0.145602547767353,0.031912558470682,0.0836442175619419,0.208111428716116,FALSE,0
"BE","R10","V2","V12","impenv","ipfrule",0,0.000641743714624792,0.00573692422862831,0,0,TRUE,0.984
"BE","R10","V2","V13","impenv","ipgdtim",0,-0.00187959590276269,0.0113175004212383,-0.0361502982854818,0,TRUE,0.97
"BE","R10","V2","V14","impenv","iphlppl",0,0.0128634313752636,0.0217518627532675,0,0.0712716009353583,TRUE,0.698
"BE","R10","V2","V15","impenv","iplylfr",0.089415465107027,0.0984289173722273,0.0346313891301491,0.0308409048778591,0.166844615975085,FALSE,0.016
"BE","R10","V2","V16","impenv","ipmodst",0,0.00125933924655986,0.00645257919840454,0,0.0254988235026958,TRUE,0.96
"BE","R10","V2","V17","impenv","iprspot",0,0.00200842375449384,0.00920398135457535,0,0.0406888010801868,TRUE,0.952
"BE","R10","V2","V18","impenv","ipshabt",0,-0.000208462720384036,0.00335676159853071,0,0,TRUE,0.996
"BE","R10","V2","V19","impenv","ipstrgv",0,0.020413275782035,0.0268242168985393,0,0.0812464093652848,TRUE,0.578
"BE","R10","V2","V20","impenv","ipsuces",0,-0.00140645409081493,0.0080699116238168,-0.0334524763334987,0,TRUE,0.968
"BE","R10","V2","V21","impenv","ipudrst",0.0158996058768755,0.0249455885060924,0.0264276360674109,0,0.0803408381218463,TRUE,0.448
"BE","R10","V2","V3","impenv","impfree",0,0.026077520798915,0.0306482588524343,0,0.0912487563968174,TRUE,0.516
"BE","R10","V2","V4","impenv","impfun",0,0,0,0,0,TRUE,1
"BE","R10","V2","V5","impenv","imprich",0,-0.0162680927093858,0.0258723952572653,-0.0805408555148425,0,TRUE,0.68
"BE","R10","V2","V6","impenv","impsafe",0,0.00796139094413097,0.0190920429694944,0,0.0678010648077746,TRUE,0.826
